Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/628e34e4de8d102b44443709/,4,0,1100.0,1479.3980999997984,794.4354000010208,2258.319799999299,3903.0,0.44749666355616435,0.0,1700,1700,2300,2300,2300,2300,2300,2300,2300,2300,2300
,Aggregated,4,0,1100.0,1479.3980999997984,794.4354000010208,2258.319799999299,3903.0,0.44749666355616435,0.0,1700,1700,2300,2300,2300,2300,2300,2300,2300,2300,2300
